latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,
2021-12-24,21.4,8.3,14.4,19.6,6.6,12.9,0,0,0,7.9
2021-12-25,20.5,7.4,14.2,19.7,5.2,12.9,0,0,0,9.2
2021-12-26,20.9,12.5,15.8,20.3,11.7,15.2,1,1,2,8
2021-12-27,19.5,11.6,14.9,18.3,10.9,14,0,0,0,9.3
2021-12-28,18.9,9,13.4,16.1,6.7,11.2,0,0,0,13.5
2021-12-29,20,5.5,12.9,17.9,3.2,10.8,0,0,0,7.5
2021-12-30,20.5,8.7,13.9,19.7,6.5,12.4,0,0,0,8.7
2021-12-31,20.2,6.9,14.1,18.3,4.8,12.5,0,0,0,6.6
2022-01-01,20.4,8.3,14.3,18.9,6.4,12.8,0,0,0,8.2
2022-01-02,20.9,7.2,13.7,17.8,5,11.3,0,0,0,9
2022-01-03,21,9,14.6,19,6.8,12.3,0,0,0,11.1
2022-01-04,19.7,11.5,15,18.4,9,13.3,1.4,1.4,7,14.6
2022-01-05,17.3,10.2,13.3,15.4,8.6,12.3,8.5,8.5,14,12.7
2022-01-06,15.8,9.1,12.4,13.7,6.8,10.4,0.2,0.2,2,14.6
2022-01-07,14.7,10.3,12.2,14,9.4,11.2,5.4,5.4,18,11.5
2022-01-08,16.2,8.9,12.2,14.3,7.6,10.7,0,0,0,10.8
2022-01-09,16.4,7.7,11.6,14.1,5.9,9.8,0,0,0,12.7
2022-01-10,18.6,6.4,12.3,17.1,4.8,10.8,0,0,0,8.7
2022-01-11,19.2,7.3,12.7,16.5,5.4,10.9,0,0,0,13.8
2022-01-12,19.7,5,12.5,17.9,2.7,10.6,0,0,0,8.2
2022-01-13,19.9,5.8,12.6,18.4,3.5,10.9,0,0,0,8.2
2022-01-14,19.8,6,12.5,17.7,4,10.7,0,0,0,8.7
2022-01-15,19.5,6.7,12.8,18.2,4.4,11.5,0,0,0,8.4
2022-01-16,18.3,7,12.9,17.4,5.4,11.8,0,0,0,8.5
2022-01-17,19.3,8.9,13.3,18.8,7.7,12.5,0,0,0,7.9
2022-01-18,19.8,8.8,13.7,19.3,7.6,13,0,0,0,8.3
2022-01-19,19.9,12.2,15.5,19.1,11.2,14.3,0.1,0.1,1,14.5
2022-01-20,19.4,9.6,13.8,19.6,8.7,13.3,0,0,0,8.7
2022-01-21,17,8.8,12.7,14.7,7.4,11.2,4.7,4.7,7,12.2
2022-01-22,14.4,9.6,11.9,11.4,8,9.7,2,2,10,21.6
2022-01-23,18.1,7.8,12.6,15.9,5.5,10.6,0,0,0,13
2022-01-24,18.6,6.5,12.5,17,4.1,10.8,0,0,0,9.5
2022-01-25,18.6,8.1,13,17.1,6.8,11.7,0,0,0,5.8
2022-01-26,19.3,5.6,12.2,17.9,3.4,10.2,0,0,0,8.8
2022-01-27,19.9,5.3,12.1,18.3,2.8,10.1,0,0,0,8.4
2022-01-28,20.8,5.8,13,18.9,3.5,11.1,0,0,0,10.1
2022-01-29,21.2,7.9,13.9,20.3,5.8,12.4,0,0,0,8.9
2022-01-30,21.7,7.4,14.3,20.9,5.4,12.9,0,0,0,9.4
2022-01-31,25,8.7,16,24.5,6.8,14.8,0,0,0,10.1
2022-02-01,23.2,9.6,15.9,21.4,8.2,14.4,0,0,0,9.4
2022-02-02,24.1,11.1,16.6,23,8.8,15.3,0.3,0.3,2,8.6
2022-02-03,20.9,10.5,15.1,18.6,8.2,13.3,0,0,0,15.2
2022-02-04,22.1,6.9,14,20.2,4.8,12,0,0,0,10.9
2022-02-05,20.7,8.4,14.2,19.1,6.6,12.4,0,0,0,11.3
2022-02-06,21.2,7.8,14.4,19.6,6,12.8,0,0,0,10.1
2022-02-07,22.1,9.1,15.1,20.6,7.5,13.6,0,0,0,14
2022-02-08,21.2,8.8,15,20.7,7.1,13.5,0.2,0.2,1,9.1
2022-02-09,22,8.5,15.3,21.6,6.7,13.9,0,0,0,9.3
2022-02-10,23.4,8.4,16.2,22.1,6.4,14.9,0,0,0,10.8
2022-02-11,23.9,8.3,15.9,23,6.1,14.3,0,0,0,10.8
2022-02-12,24.3,8.8,16.4,23.3,7,14.9,0,0,0,10.8
2022-02-13,24.7,8.5,16.7,24.9,7,15.9,0,0,0,8.8
2022-02-14,25,9.8,17.3,24.9,8.4,16.5,0,0,0,8.8
2022-02-15,25.1,10.4,17.9,25.6,9.3,17.2,0,0,0,9.2
2022-02-16,25,11.6,18.1,24.9,10.4,17.3,0,0,0,9.8
2022-02-17,25.2,11.7,18.2,25.2,10.8,17.3,0,0,0,9.3
2022-02-18,24.3,12.4,17.7,22.8,9.6,15.7,0,0,0,18.1
2022-02-19,25.8,10,17.9,24.7,8.7,16.9,0,0,0,10.9
2022-02-20,27.9,10.9,19.2,24,9.4,16.8,0,0,0,17.9
2022-02-21,27.9,11.1,19.4,26.3,9.1,17.3,0,0,0,12.8
2022-02-22,25.1,14.8,18.9,21.8,11.9,15.6,0,0,0,32.1
2022-02-23,24.8,10.5,17.8,23.6,9.4,16.5,0,0,0,12.4
2022-02-24,24.8,11.6,18.3,25.2,10.1,17.5,0,0,0,10.4
2022-02-25,25.2,12.3,18.1,26,11.6,17.3,1.2,1.2,2,21.8
2022-02-26,23.1,11.7,17,21.3,10.1,15.3,0.6,0.6,3,18.5
2022-02-27,22.9,10.8,16.7,21.9,9.9,15.6,0,0,0,10.5
2022-02-28,24.9,12.3,18.2,24.1,11.2,17.3,0,0,0,11.2
2022-03-01,26,12,19.4,27.1,11.1,19.1,0,0,0,8.7
2022-03-02,21.5,14.8,17,21,14.3,16.4,7.4,7.4,14,17
2022-03-03,23.8,11.7,17.9,23.6,11.5,17.7,0.2,0.2,2,9.5
2022-03-04,25.3,11.4,18.5,26.6,10.9,18.5,0,0,0,8
2022-03-05,27.1,13,20.1,26.9,12.8,20,0,0,0,14.2
2022-03-06,28.5,15.7,21.1,28.5,15.8,21.2,0,0,0,15.5
2022-03-07,27.5,15.1,20.7,27.1,13.9,19.8,0,0,0,24
2022-03-08,28,14.9,21.3,27.8,13.7,20.5,0,0,0,15.2
2022-03-09,29.2,14.8,22.2,30.6,14.7,22.2,0,0,0,10.7
2022-03-10,30.2,16.7,23.4,31.2,15.8,23.1,0,0,0,10.4
2022-03-11,31.9,16.5,24.5,32.5,16.9,24.9,0,0,0,9.1
2022-03-12,33.8,17.5,25.6,34,17.5,25.9,0,0,0,12.9
2022-03-13,34.2,18,26.3,36.8,18.6,27.6,0,0,0,9
2022-03-14,35.9,19.3,27.8,37.6,20.7,29.4,0,0,0,9.6
2022-03-15,36.7,19.7,28.4,39,21.9,30.2,0,0,0,8.8
2022-03-16,37.5,21.5,29,39.8,22.5,30.6,0,0,0,10.2
2022-03-17,37.9,22.1,29.5,40.9,23.7,31.7,0,0,0,10
2022-03-18,38.3,20.9,29.3,38.9,21.8,30.1,0,0,0,11.1
2022-03-19,35.3,22.2,28.1,36.4,22.2,29.1,0,0,0,22.3
2022-03-20,36.5,23.1,29.5,37.8,23.8,30.2,0,0,0,16.6
2022-03-21,35.8,21.4,28.4,37.7,21.1,28.8,0,0,0,9
2022-03-22,36,19.3,27.9,36.1,19.1,28,0,0,0,9.4
2022-03-23,33.4,21.3,27.1,32.8,19.1,25.9,0,0,0,13
2022-03-24,34.9,17.8,26.8,35,16.8,26.3,0,0,0,9.4
2022-03-25,35.1,19.1,27.4,36.5,18.8,27.6,0,0,0,8.9
2022-03-26,36.6,19.1,27.6,35.8,18.6,26.8,0,0,0,12.3
2022-03-27,38.1,21.3,29.2,37.9,19.1,27.5,0,0,0,13
2022-03-28,38.2,21.2,29.7,37.7,19.6,28.3,0,0,0,13.3
2022-03-29,38.5,19.3,28.9,38.8,18.3,28.4,0,0,0,10.2
2022-03-30,37.7,20.1,28.9,35,19.8,26.8,0,0,0,21.8
2022-03-31,37.5,19.6,28.4,36.6,16.8,26.5,0,0,0,10.8
2022-04-01,38.2,19.3,28.8,36.8,17.1,26.9,0,0,0,12.7
2022-04-02,38.4,19.2,28.9,37,16.7,27.1,0,0,0,12.6
2022-04-03,37.6,19.4,28.7,36.8,17.1,26.8,0,0,0,16.7
2022-04-04,37.7,21.3,29.2,37.9,18.2,27.6,0,0,0,11.8
2022-04-05,38.5,20.7,29.5,38.2,19.1,28.5,0,0,0,10.1
2022-04-06,39.4,20.3,30.2,39.1,19.5,29.4,0,0,0,11.2
2022-04-07,40.4,21.9,31.1,40.9,19.8,30.2,0,0,0,10
2022-04-08,41.5,22.8,32.3,41.5,21.2,31.2,0,0,0,10.9
2022-04-09,42.8,25.2,33.2,41,22.8,31.3,0,0,0,13
2022-04-10,42.2,22.2,32.6,42.1,21.6,31.9,0,0,0,10.5
2022-04-11,42.7,24.5,33.6,41.4,23,31.9,0,0,0,12.6
2022-04-12,40.5,25.6,33.1,40.7,23.7,31.5,0,0,0,12.3
2022-04-13,38.4,24.5,31.4,39,23.9,30.2,0,0,0,19.6
2022-04-14,39.4,22.6,31.3,38.1,21.6,29.3,0,0,0,16.4
2022-04-15,39.2,23.1,31.5,39.1,21.7,29.8,0,0,0,14.1
2022-04-16,40.1,21.2,31.6,39.3,18.5,29.5,0,0,0,10.4
2022-04-17,41.2,23.4,32.6,41.1,21.2,30.9,0,0,0,11.2
2022-04-18,38.7,24.1,32.7,38.6,22.6,31.3,0,0,0,15.8
2022-04-19,39.1,25.8,32.9,40.8,25.2,32.2,0,0,0,12.9
2022-04-20,39.1,25.2,31.9,40.4,24.1,31.3,0.7,0.7,2,13.5
2022-04-21,38.6,22.8,31.9,39,22.2,30.7,0,0,0,10.9
2022-04-22,35.2,22.6,29.2,36.1,20.1,28.2,0,0,0,19.2
2022-04-23,37.3,22.3,30.4,38.8,21.5,30,0,0,0,10.8
2022-04-24,39.2,24.9,32,39.5,24.3,31.6,0,0,0,10.5
2022-04-25,39.8,23.8,32,40.8,22.6,31.2,0,0,0,11.8
2022-04-26,41.9,22.4,33.1,41.5,21.1,31.6,0,0,0,10
2022-04-27,43.2,24,34.4,42,22.4,32.5,0,0,0,12.5
2022-04-28,44.2,26.8,35.5,42.6,24.3,33.3,0,0,0,15.6
2022-04-29,42.7,26.8,35,43.4,24,33.4,0,0,0,12.5
2022-04-30,43.3,26.3,35.5,44,25.1,34.9,0,0,0,9.7
2022-05-01,44.1,27.3,35.8,44.3,26.1,35.1,0,0,0,10.6
2022-05-02,44,27.1,35.6,43.9,25.8,34.2,0,0,0,18
2022-05-03,38.3,27.7,33.3,38.3,25.7,32,0,0,0,19.6
2022-05-04,38.6,27.1,33.1,39.9,25.3,32.8,0,0,0,16.9
2022-05-05,38.4,26.2,32.1,41.5,26.3,33.2,1,1,1,17.8
2022-05-06,39.9,25.7,32.9,41.5,25.7,33.1,0,0,0,9.4
2022-05-07,41.7,25.8,34.2,42.5,25.9,34.1,0,0,0,10.5
2022-05-08,43.8,27.3,35.5,43.9,26,35,0,0,0,12.6
2022-05-09,43.9,25.5,35.4,44.1,25.4,35,0,0,0,12
2022-05-10,43.3,26.5,35.4,44.7,26,35.3,0,0,0,11.1
2022-05-11,43.5,27.6,36,45.1,27.6,36,0,0,0,12.7
2022-05-12,45,29.1,37.2,43.3,28.6,35.6,0,0,0,15
2022-05-13,44.6,25.5,35.9,43.1,24.4,34.3,0,0,0,17
2022-05-14,46.7,26.9,37.3,44,25.3,34.8,0,0,0,19.6
2022-05-15,46.4,30.7,38.2,46.6,28,35.8,0,0,0,16
2022-05-16,43,29.9,36.2,43.7,28.8,35.1,0,0,0,20.2
2022-05-17,43.2,29.1,36.2,43.8,28.1,35.5,0,0,0,14.2
2022-05-18,42.9,28.2,35.9,43.3,26.7,35.1,0,0,0,10.1
2022-05-19,44.5,29.9,37.4,44.8,28.1,36.3,0,0,0,17.7
2022-05-20,42.1,29.1,36.2,42.2,27.5,34.9,0,0,0,23.1
2022-05-21,41.5,28.2,35.2,40.8,27.2,33.8,0,0,0,16.9
2022-05-22,42.9,26.4,35.6,42.3,25.3,34.1,0,0,0,14.8
2022-05-23,39.3,26.5,32.8,40.3,24.4,31.4,0.7,0.7,1,23.4
2022-05-24,37.4,24.1,31.2,38.6,25.4,31.6,0,0,0,17.1
2022-05-25,38.9,25.5,32.4,40.1,26.6,33,0,0,0,16.1
2022-05-26,41.9,28,35.2,43.5,27.4,35.2,0,0,0,15.6
2022-05-27,43.5,30.2,36.8,45.2,30.5,37.5,0,0,0,21.6
2022-05-28,43.2,29.5,36.8,44,30,36.9,0,0,0,20.9
2022-05-29,42.4,28.9,36.1,44.3,28.4,36,0,0,0,10.9
2022-05-30,40.7,28.8,35.5,43.1,29.2,35.2,0,0,0,17.7
2022-05-31,42.4,27.2,35.4,42.4,28.2,35,0,0,0,17.1
2022-06-01,41.8,27.3,35,42.4,26.6,34.4,0,0,0,11.5
2022-06-02,43.2,26.4,35.6,44,26.2,35.1,0,0,0,8.1
2022-06-03,44.2,25.7,35.9,42.6,24.6,33.8,0,0,0,12.4
2022-06-04,44.5,27,36.2,42.8,24.2,33.7,0,0,0,17.5
2022-06-05,44.2,27.1,36.2,43.5,26.5,35.1,0,0,0,15.6
2022-06-06,44.6,27.9,37.2,44.2,28.4,36.6,0,0,0,11.3
2022-06-07,45,30,37.7,45,28.1,36,0,0,0,16.8
2022-06-08,44.2,30.1,36.9,44.7,27.7,36,0,0,0,17.7
2022-06-09,43.6,30.1,36.7,44,27.9,36.2,0,0,0,20.4
2022-06-10,42.3,30.2,36.3,44.7,31.5,38.1,0,0,0,21.7
2022-06-11,41.9,31.1,36.4,44.3,32.4,37.9,0.1,0.1,1,18.8
2022-06-12,42,31.5,36.5,43.5,32.8,37.9,0.1,0.1,1,18.3
2022-06-13,42.7,32.1,37.3,45,33.4,39,0.6,0.6,5,13.8
2022-06-14,43.5,30.4,37,44.4,32.2,37.8,0,0,0,23
2022-06-15,44,32.8,38.2,44.1,33,38.1,0,0,0,25
2022-06-16,42.1,32.7,37.4,43.4,33.5,38.2,0,0,0,26.7
2022-06-17,39.8,31.6,35.8,43.4,33,38.3,0.1,0.1,1,20.5
2022-06-18,35.7,27.6,31.9,39.9,31.7,35.9,3.1,3.1,5,18.4
2022-06-19,34.1,25,30.1,39.8,28.3,34.2,6.2,6.2,9,14.7
2022-06-20,33.9,25.6,28.9,39.4,30.1,33.1,10.6,10.6,10,22.4
2022-06-21,27.2,22.8,24.6,29.6,25.7,27.3,49.1,49.1,12,15.7
2022-06-22,31.4,22.1,26.8,32.7,24.3,28.6,0,0,0,16.3
2022-06-23,34.4,24,29.3,38.2,25.5,32,0,0,0,14.8
2022-06-24,38.1,25.2,31.6,43.9,28.4,35.6,0,0,0,8.9
2022-06-25,39.2,26,32.7,43.3,29.5,35.9,0,0,0,12.9
2022-06-26,40.1,24.7,33,41.9,26.6,34.7,0,0,0,10.5
2022-06-27,41.1,26.8,34.2,45.4,28.6,37.3,0,0,0,10.9
2022-06-28,42.4,28.2,35.7,47.1,31.7,39.4,0,0,0,11.2
2022-06-29,42.4,33,37.2,45.6,33.7,39.1,0,0,0,24.5
2022-06-30,40.4,32,36.2,45.1,33.8,39.2,0,0,0,24.4
2022-07-01,38.9,31.1,34.7,43.8,34.2,39,0.6,0.6,1,16.4
2022-07-02,36.6,29,33.1,42.6,34.6,38.4,0.3,0.3,3,12.1
2022-07-03,37.3,31.1,34.2,43.3,35.7,39.2,0,0,0,10.5
2022-07-04,37.8,30.4,33.9,43.2,35.9,39.3,0.4,0.4,4,10
2022-07-05,39.5,31.5,35.7,44.7,37.7,41.1,0,0,0,10.4
2022-07-06,39.4,30.3,34.3,43.9,35.1,38.9,1.7,1.7,4,16.7
2022-07-07,36.8,28,32.5,43.1,34.2,38.9,9.3,9.3,10,11.7
2022-07-08,38.5,30.7,35.2,45.7,38.7,42.1,0,0,0,7.7
2022-07-09,40.5,31.6,35.8,46.1,37.1,41,1.5,1.5,2,14.2
2022-07-10,36.2,27.9,31.4,41.8,34.1,37.1,3.7,3.7,6,13
2022-07-11,37.6,29,33.2,44,34.7,38.9,0.5,0.5,4,9.4
2022-07-12,39.2,30.4,34.9,45.8,36.3,40.4,0,0,0,11.2
2022-07-13,40.5,31.9,35.5,45.1,36.3,39.9,1.8,1.8,1,16.9
2022-07-14,36.3,28.6,31,42.9,34.5,37,8.8,8.8,11,12.2
2022-07-15,31.7,25.5,28.3,35.7,30,33,13.2,13.2,14,19.1
2022-07-16,34.2,26.7,30,38.2,31.1,34.6,9,9,7,15.1
2022-07-17,32.1,26.5,28.6,38.1,31.5,34.2,38.8,38.8,16,16
2022-07-18,34,26.3,30.2,41.4,32.5,36.5,9,9,12,8.8
2022-07-19,36.9,28.6,32.7,43.8,35.5,39.1,0.1,0.1,1,14.5
2022-07-20,37,29.9,33.2,42.1,34,37.7,0,0,0,22.3
2022-07-21,33.7,29.1,31.6,38.9,32.9,36.3,0,0,0,20
2022-07-22,32.9,27.1,29,39.7,33.3,35.5,40,40,19,10.2
2022-07-23,32.3,26.7,28.6,38.5,32.7,35,24.4,24.4,20,14.7
2022-07-24,31.7,26.2,28.1,38.4,31.7,34.1,39.3,39.3,24,16.3
2022-07-25,31.3,25.9,27.9,37,30.9,33.8,14.2,14.2,22,13.4
2022-07-26,34.1,26.3,29.7,41,31.8,35.9,4,4,16,14.6
2022-07-27,34.3,28,30.7,41.3,34.4,37.7,4.3,4.3,11,10.4
2022-07-28,34,28.2,30,42,34.9,37,9.6,9.6,10,7.2
2022-07-29,32.5,26.8,29.3,40.6,33.4,35.5,3.2,3.2,9,14.6
2022-07-30,34,27.1,30.3,41.1,32.8,36.4,0.6,0.6,4,10.5
2022-07-31,33.9,27.8,30.6,41.7,33,36.7,3,3,9,12.3
2022-08-01,33.5,27.5,29.7,39.7,33.7,36.1,7.5,7.5,12,8.9
2022-08-02,34.4,27.2,30.9,40.3,34.1,37.2,0.3,0.3,2,10.2
2022-08-03,35.2,28.3,31.6,42.7,33.8,38.2,0.5,0.5,4,8.3
2022-08-04,36.2,28,32.3,44.3,34.4,39,0,0,0,7.9
2022-08-05,35.1,28.7,31.9,41.2,34.7,38,0.1,0.1,1,9.4
2022-08-06,33,28,30.2,38.3,35.1,36.4,2.4,2.4,6,8.4
2022-08-07,34.9,28.1,31.4,42.9,34.8,38.4,0.6,0.6,6,9.7
2022-08-08,35.5,28.2,32,41.3,34.7,38.2,0.1,0.1,1,10.6
2022-08-09,36.5,28.7,32.6,44,35.6,39.1,0.2,0.2,2,9
2022-08-10,36.5,29.2,32.9,42.6,35.8,39,0.3,0.3,3,7.6
2022-08-11,37.1,29.6,33.1,41.5,35.5,37.9,0,0,0,18.8
2022-08-12,36.4,28.6,32.2,39.5,31.8,35.5,0.1,0.1,1,16.3
2022-08-13,36.4,28.6,32.2,41,33.2,36.8,0,0,0,10.9
2022-08-14,33.4,28.6,30.2,39.5,34,35.9,11.4,11.4,10,12.8
2022-08-15,35.3,26.9,31,40.1,33,36.2,0,0,0,10.4
2022-08-16,34.8,27.2,30.1,40.3,32.9,35.8,2.5,2.5,6,13.8
2022-08-17,30.6,25.4,28.4,34.8,29.2,32.1,18.7,18.7,14,21
2022-08-18,30,25.6,27.9,34,29.3,32,2,2,9,18.8
2022-08-19,32.5,25.1,28.6,36,29.6,32.8,0.1,0.1,1,14
2022-08-20,32.3,25.4,28.6,35.8,30.2,32.7,0.2,0.2,2,16.8
2022-08-21,33.2,25.7,29,38.9,31.3,34.4,0.2,0.2,2,9.5
2022-08-22,34.3,25.9,30,41.3,31.9,36,0.1,0.1,1,6.5
2022-08-23,36.4,28,30.9,40.6,33.6,35.8,6.3,6.3,7,18.9
2022-08-24,31.3,28,29.8,34.7,32.3,33.4,0.9,0.9,5,23.7
2022-08-25,30.1,26.6,28.2,34.9,31.1,32.7,2,2,10,14.7
2022-08-26,31.3,25.4,28.2,36.4,31.6,33.5,0.5,0.5,5,14.1
2022-08-27,32.5,24.9,28.7,36.8,29.2,33.1,0.3,0.3,3,12.9
2022-08-28,33.6,25.3,29.5,38.6,29.3,33.9,0,0,0,15.3
2022-08-29,34.6,26.6,30.5,39.6,31.2,35,0.1,0.1,1,12.8
2022-08-30,35.4,26.5,30.8,40,31.4,35.3,0,0,0,11.2
2022-08-31,35.7,27,31.2,40.6,31.6,35.9,0,0,0,14.3
2022-09-01,36.1,26.1,30.9,40.3,29.5,34.7,0,0,0,14.4
2022-09-02,36.3,26.3,31.1,40.9,30.2,35.4,0,0,0,15
2022-09-03,36.5,26.9,31.4,41.2,30.2,35.4,0,0,0,15.3
2022-09-04,36,26.9,31.2,40.2,30.6,35.2,0,0,0,17.4
2022-09-05,36.1,26.9,31.5,40.8,31.9,36.2,0.1,0.1,1,13.2
2022-09-06,35.8,26.3,31.4,40.4,32.1,36,0,0,0,10.2
2022-09-07,36.8,27.1,32,40.9,32.7,36.4,0.1,0.1,1,10.5
2022-09-08,37.5,26.9,32.7,41.5,32.2,36.7,0,0,0,10.8
2022-09-09,38.1,26.8,33,42.2,31.6,37,0,0,0,9.3
2022-09-10,38.8,28.4,33.7,43.3,33.1,37.7,0,0,0,9.7
2022-09-11,38.3,29.3,33.4,42.1,33.1,36.8,0.2,0.2,1,20
2022-09-12,37.1,28.4,32.5,41,32.7,36.5,0.1,0.1,1,11.1
2022-09-13,37.4,27.7,32.5,42.6,32.4,36.9,0,0,0,8.8
2022-09-14,37.1,28,32.8,43.2,33,37.7,0,0,0,6.5
2022-09-15,38.1,27.2,32.8,41.5,31.8,36.4,0,0,0,11.5
2022-09-16,37.2,27.5,32.2,40.2,29.7,34.7,0,0,0,16.6
2022-09-17,36.5,26.8,31.3,40.6,29.2,34.8,0,0,0,13.4
2022-09-18,37.1,27.3,31.9,40.7,30.5,35.2,0,0,0,11.9
2022-09-19,37.3,26.8,31.8,41,29.4,34.7,0,0,0,11.4
2022-09-20,37.2,25,31.4,41,28.7,35,0,0,0,7.4
2022-09-21,38.1,27.5,32.6,41.4,30.9,35.7,0,0,0,8.3
2022-09-22,37.9,26.4,32.1,41.8,28.9,35,0,0,0,10
2022-09-23,37.5,26.3,31.9,41,29.4,34.5,0,0,0,14.6
2022-09-24,36.3,25.8,30.8,40.7,29.4,34.2,0,0,0,14.6
2022-09-25,36,26.3,30.9,38.4,29.2,33.6,0,0,0,15.3
2022-09-26,35.4,25.5,30.6,40.2,28.7,33.9,0.1,0.1,1,6.1
2022-09-27,36.2,25.5,30.9,38.9,29.7,33.5,0,0,0,9.4
2022-09-28,36.8,25.3,30.9,38.8,26.8,32.3,0,0,0,9.7
2022-09-29,37.1,24.8,30.7,38.8,25.5,31.9,0,0,0,10.2
2022-09-30,37.4,24.6,30.6,39.1,25.8,32,0,0,0,11.2
2022-10-01,37.3,25.6,31.2,38.7,27.2,32.4,0,0,0,14.7
2022-10-02,36.4,26,30.8,37.7,26.1,31.6,0,0,0,15.1
2022-10-03,36.7,24.8,30.6,37.6,27.4,31.9,0,0,0,12.8
2022-10-04,36.7,24.9,30.5,40,26.9,32.5,0,0,0,9.8
2022-10-05,36.9,23.2,30.4,39.2,25,32,0,0,0,9.1
2022-10-06,36.7,23.2,29.7,36.9,22.9,29.7,0,0,0,12.9
2022-10-07,35.1,22,28.6,36.8,22.6,29.6,0,0,0,8.6
2022-10-08,34.7,23.8,29,35.8,25.8,30.3,0,0,0,14.2
2022-10-09,34.3,22.7,28.5,36.1,25,30,0,0,0,10.2
2022-10-10,33.1,23.3,28.3,35.8,26,30.4,0,0,0,8.9
2022-10-11,34.3,22.8,28.2,35.2,24.4,29.1,0,0,0,10.7
2022-10-12,33.7,22.7,27.7,35,23.6,28.5,0,0,0,12.6
2022-10-13,34,20.4,27.4,34.9,21.3,27.9,0,0,0,8.3
2022-10-14,33.9,21,26.9,34.6,22.1,27.3,0,0,0,9.7
2022-10-15,34.3,19.4,26.7,34.2,20.2,26.7,0,0,0,10.3
2022-10-16,34.6,18.4,26.4,34.5,17.5,25.9,0,0,0,10.7
2022-10-17,34.8,18.1,26.6,33.9,17.5,26,0,0,0,10.8
2022-10-18,34.1,19.3,26.2,34,19.2,25.9,0,0,0,9
2022-10-19,33.8,19,26.5,34.6,19.3,26.7,0,0,0,9
2022-10-20,31.6,18.4,25.3,30.8,18.2,24.7,0,0,0,18.4
2022-10-21,31.3,19.8,25.1,30.4,18.4,23.9,0,0,0,15.8
2022-10-22,31.9,18.2,25.3,32.4,17.6,25.2,0,0,0,8.4
2022-10-23,32.3,19,25.3,33.2,19.3,25.9,0,0,0,8.3
2022-10-24,32.2,19.2,25.4,32.8,19.9,25.9,0,0,0,9.5
2022-10-25,32.7,19.2,26,33.4,19.9,26.6,0,0,0,9
2022-10-26,33.3,18.7,26.3,34.8,19.6,27.2,0,0,0,9.5
2022-10-27,33,19.3,25.7,33.3,19.7,26.1,0,0,0,8.7
2022-10-28,33.2,18.2,25.8,33.7,18.6,26.1,0,0,0,8.9
2022-10-29,32.9,18.3,25.4,32.8,18.7,25.3,0,0,0,9.4
2022-10-30,32.8,17.8,25.1,33.3,18,25.2,0,0,0,9.7
2022-10-31,32.3,17.6,25.2,32.7,17.5,25.4,0,0,0,9.4
2022-11-01,32.3,20,25.6,31.7,19.9,25.5,0,0,0,16.2
2022-11-02,31.8,19,25.9,33.3,19.7,26.8,0,0,0,8
2022-11-03,32.2,19,25.6,34.6,20.8,27.3,0,0,0,7.2
2022-11-04,32.8,19.2,25.9,34.6,20.6,27.5,0,0,0,8
2022-11-05,32.2,19.6,25.3,33.9,21.7,27.1,0.9,0.9,1,17.6
2022-11-06,26.8,19.2,22.7,26.2,18.8,22.4,0,0,0,19.5
2022-11-07,27.6,18,22.4,26.6,17.4,21.6,0,0,0,15.7
2022-11-08,27.8,17.4,22.3,27.7,16.2,21.6,0,0,0,12.8
2022-11-09,29.1,16.6,22.7,29.2,16.8,22.8,0,0,0,6.9
2022-11-10,27.6,17.2,21.9,27.8,16.9,21.9,0,0,0,13.1
2022-11-11,27.7,16,22,28,16.4,22.2,0,0,0,9.2
2022-11-12,28.8,16.8,22.3,29.3,17,22.7,0,0,0,7.4
2022-11-13,28.4,16.3,22.2,28.3,17,22.5,0.6,0.6,1,18.4
2022-11-14,24.3,15.7,19.4,22.7,14.2,18.1,3.2,3.2,8,22
2022-11-15,24.3,13.9,18.5,22.5,11.7,16.7,0,0,0,18.6
2022-11-16,26.2,12.3,19.3,25.7,12,18.6,0,0,0,8.4
2022-11-17,26.5,12.1,19.3,25.3,11.3,18.1,0,0,0,7.9
2022-11-18,27,12.6,19.8,26.1,11.5,18.8,0,0,0,8.4
2022-11-19,26.7,13.7,20.3,26.1,13,19.6,0,0,0,9.4
2022-11-20,26.6,14.5,19.9,24.3,13.6,18.2,0,0,0,9.4
2022-11-21,27.1,12.2,19.5,25.9,10.8,18.4,0,0,0,7.9
2022-11-22,27.8,12.1,20.2,26.5,11.3,19.1,0,0,0,8.2
2022-11-23,27.9,11.6,19.8,26.7,10.5,18.7,0,0,0,9.9
2022-11-24,28.6,11.6,20.2,26.4,10.5,18.5,0,0,0,10.7
2022-11-25,27.6,13.5,19.6,26.2,11.4,17.8,0,0,0,10.5
2022-11-26,27.1,10.9,19.1,25.4,9.7,17.8,0,0,0,7
2022-11-27,26.8,14.1,19.8,26.1,13,18.9,0,0,0,5.8
2022-11-28,26.5,11.6,18.6,25.5,10.1,17.4,0,0,0,8.4
2022-11-29,26.1,11.7,18.4,25.1,10.5,17.5,0,0,0,8.1
2022-11-30,26.1,10.9,18.8,25.2,9.7,17.9,0,0,0,7.5
2022-12-01,25.9,12.3,19.1,24.8,11.4,18.3,0,0,0,9.5
2022-12-02,25,11.7,18.5,23.2,10.6,17.3,0,0,0,9.2
2022-12-03,24.8,10.9,17.8,24,9.8,16.9,0,0,0,8.3
